objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,Rengsanggri_Tura_First-Trip-Back_Note,,,"Rengsanggri, Tura, note",Robbins Burling,~1996-1997,"Note indicating the photography collection is dated to late 1996/early 1997 and is Burling's first trip back to Rengsanggri, Tura",Robbins Burling; anthropology; fieldwork; photography; visual anthropology; Garo; history; India; Meghalaya;,Rengsanggri; Tura; Meghalaya; India;,N/A,N/A,,pg_9_12_01bl,Image;StillImage,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll002,Rengsanggri_Tura_First-Trip-Back_3,,,"Rengsanggri, Tura, Image 1",Robbins Burling,~1996-1997,Photo of outside of Government of Meghalaya District Auditorium & Library,Robbins Burling; anthropology; fieldwork; photography; visual anthropology; Garo; history; India; Meghalaya;,Rengsanggri; Tura; Meghalaya; India;,N/A,N/A,,,Image;StillImage,image/jpg,eng,,
coll003,Rengsanggri_Tura_First-Trip-Back_4,,,"Rengsanggri, Tura, Image 2",Robbins Burling,~1996-1997,Photo of stream with person squatting on right side,Robbins Burling; anthropology; fieldwork; photography; visual anthropology; Garo; history; India; Meghalaya;,Rengsanggri; Tura; Meghalaya; India;,N/A,N/A,,,Image;StillImage,image/jpg,eng,,
coll004,Rengsanggri_Tura_First-Trip-Back_6,,,"Rengsanggri, Tura, Image 3",Robbins Burling,~1996-1997,Photo of bed with turquoise blankets and mosquito net over top ,Robbins Burling; anthropology; fieldwork; photography; visual anthropology; Garo; history; India; Meghalaya;,Rengsanggri; Tura; Meghalaya; India;,N/A,N/A,,,Image;StillImage,image/jpg,eng,,
coll005,Rengsanggri_Tura_First-Trip-Back_7,,,"Rengsanggri, Tura, Image 4",Robbins Burling,~1996-1997,Photo of second bed with blue blanket and map of India on wall,Robbins Burling; anthropology; fieldwork; photography; visual anthropology; Garo; history; India; Meghalaya;,Rengsanggri; Tura; Meghalaya; India;,N/A,N/A,,,Image;StillImage,image/jpg,eng,,
coll006,Rengsanggri_Tura_First-Trip-Back_9,,,"Rengsanggri, Tura, Image 5",Robbins Burling,~1996-1997,Photo of range of small trees,Robbins Burling; anthropology; fieldwork; photography; visual anthropology; Garo; history; India; Meghalaya;,Rengsanggri; Tura; Meghalaya; India;,N/A,N/A,,,Image;StillImage,image/jpg,eng,,
coll007,Rengsanggri_Tura_First-Trip-Back_10,,,"Rengsanggri, Tura, Image 6",Robbins Burling,~1996-1997,Photo of small hill,Robbins Burling; anthropology; fieldwork; photography; visual anthropology; Garo; history; India; Meghalaya;,Rengsanggri; Tura; Meghalaya; India;,N/A,N/A,,,Image;StillImage,image/jpg,eng,,
coll008,Rengsanggri_Tura_First-Trip-Back_12,,,"Rengsanggri, Tura, Image 7",Robbins Burling,~1996-1997,Photo from behind of woman carrying child carrying pots and pans in basket on back,Robbins Burling; anthropology; fieldwork; photography; visual anthropology; Garo; history; India; Meghalaya;,Rengsanggri; Tura; Meghalaya; India;,N/A,N/A,,,Image;StillImage,image/jpg,eng,,
coll009,Rengsanggri_Tura_First-Trip-Back_23,,,"Rengsanggri, Tura, Image 8",Robbins Burling,~1996-1997,Photo of ditch outside of small settlement,Robbins Burling; anthropology; fieldwork; photography; visual anthropology; Garo; history; India; Meghalaya;,Rengsanggri; Tura; Meghalaya; India;,N/A,N/A,,,Image;StillImage,image/jpg,eng,,
coll010,Rengsanggri_Tura_First-Trip-Back_24,,,"Rengsanggri, Tura, Image 9",Robbins Burling,~1996-1997,Photo of path of rocks outside of settlement,Robbins Burling; anthropology; fieldwork; photography; visual anthropology; Garo; history; India; Meghalaya;,Rengsanggri; Tura; Meghalaya; India;,N/A,N/A,,,Image;StillImage,image/jpg,eng,,
